escala,tipo_dato,metodo,centrado,suma,referencia,error_abs,error_rel,tiempo_ms,memoria_bytes,cumple
1000.0,float32,directa,False,200001456.0,200000651.50467336,804.4953266382217,4.0224635299221675e-06,23.272499995073304,800000,True
1000.0,float32,directa,True,200000651.49554443,200000651.50467336,0.009128928184509277,4.5644492234546363e-11,23.124200000893325,800000,True
1000.0,float32,kahan,False,200000656.0,200000651.50467336,4.495326638221741,2.2476559973189384e-08,63.01459998940118,800000,True
1000.0,float32,kahan,True,200000651.49554443,200000651.50467336,0.009128928184509277,4.5644492234546363e-11,71.29469999927096,800000,True
1000.0,float64,directa,False,200000651.50467023,200000651.50467336,3.129243850708008e-06,1.5646168285781246e-14,21.00619999691844,1600000,True
1000.0,float64,directa,True,200000651.5046734,200000651.50467336,2.9802322387695312e-08,1.4901112653124996e-16,30.34040000056848,1600000,True
1000.0,float64,kahan,False,200000651.5046734,200000651.50467336,2.9802322387695312e-08,1.4901112653124996e-16,69.62880000355653,1600000,True
1000.0,float64,kahan,True,200000651.5046734,200000651.50467336,2.9802322387695312e-08,1.4901112653124996e-16,68.48269997863099,1600000,True
1000000.0,float32,directa,False,199898136576.0,200000000651.50464,101864075.50463867,0.0005093203758640704,21.516999986488372,800000,True
1000000.0,float32,directa,True,200000000646.5,200000000651.50464,5.004638671875,2.5023193277861367e-11,25.41830000700429,800000,True
1000000.0,float32,kahan,False,199999995904.0,200000000651.50464,4747.504638671875,2.3737523116033843e-08,64.70049999188632,800000,True
1000000.0,float32,kahan,True,200000000646.5,200000000651.50464,5.004638671875,2.5023193277861367e-11,66.53869998990558,800000,True
1000000.0,float64,directa,False,200000000651.50327,200000000651.50464,0.001373291015625,6.866455055757363e-15,21.13980002468452,1600000,True
1000000.0,float64,directa,True,200000000651.50467,200000000651.50464,3.0517578125e-05,1.525878901279414e-16,25.527300022076815,1600000,True
1000000.0,float64,kahan,False,200000000651.50467,200000000651.50464,3.0517578125e-05,1.525878901279414e-16,68.08909997926094,1600000,True
1000000.0,float64,kahan,True,200000000651.50467,200000000651.50464,3.0517578125e-05,1.525878901279414e-16,68.01210000412539,1600000,True
1000000000.0,float32,directa,False,200214614900736.0,200000000000651.5,214614900084.5,0.0010730745004190044,22.365199984051287,800000,True
1000000000.0,float32,directa,True,200000000000000.0,200000000000651.5,651.5,3.2574999999893886e-12,24.590799992438406,800000,True
1000000000.0,float32,kahan,False,200000000753664.0,200000000000651.5,753012.5,3.765062499987736e-09,64.5362000213936,800000,True
1000000000.0,float32,kahan,True,200000000000000.0,200000000000651.5,651.5,3.2574999999893886e-12,72.13810001849197,800000,True
1000000000.0,float64,directa,False,200000000000651.06,200000000000651.5,0.4375,2.1874999999928744e-15,24.184800015063956,1600000,True
1000000000.0,float64,directa,True,200000000000651.5,200000000000651.5,0.0,0.0,23.971199989318848,1600000,True
1000000000.0,float64,kahan,False,200000000000651.5,200000000000651.5,0.0,0.0,65.26219999068417,1600000,True
1000000000.0,float64,kahan,True,200000000000651.5,200000000000651.5,0.0,0.0,65.73109998134896,1600000,True
